,reviewerid,authorcomments,total_sum,title,keywords,abstract,accept
78,9244,"This is a well written paper on a machine learning project which can take a set of textual data and analyze the subjective sentiment of the text.   The work done is technically thorough and this is indeed a great gateway project to delve into learning systems, as comparison of multiple methods are performed.   However, the research novelty of the paper is not clear . Also, the significance of the authors claim that their method is language independent is also vague.",21.0,Sentiment Analysis Using Out of Core Learning,"Natural Language Processing, Machine Learning, Sentiment Analysis, Opinion Mining","Text sentiment detection for a particular language
other than English is one of the challenging tasks presently. The
reasons are; it needs a large dataset, language has no particular
structure, one word has a different meaning, and it is hard for
even human to understand the connotation of particular words.
There exists many proposed architecture for detecting emotions
in, but they are not accurate enough to predict the perfect
emotion of the sentence. Our work is based on sentiment analysis
which is a type of natural language processing for tracking
the mood of the public. Several approaches were taken using
deep learning and machine learning. So far many researchers
have approached different techniques with an intention to build
different models to deal with different languages as the grammar,
as well as the structure of the sentences, are identical for various
languages. Still, no standalone architecture is available that can
extract the sentiments hidden inside of a sentence in different
languages. In this paper, we are proposing an abstract model
that can enable sentiment analysis without any restriction of
using a fixed language somewhat applicable to any language.
With the use of natural language processing, we have extracted
the features, and these features are then fed to different machine
learning models for classification. As our main concern was
to build up a general model, this model is confined to binary
classification, i.e., positive and negative. Apart from this, In our
system architecture, we have implemented stochastic gradient
descent for optimization. So our model can be called out of
core learning model where the model can be updated when new
user data is inserted without training the whole model. For the
evaluation of the performance of our model, we have used it
against IMDB review dataset and shown its accuracy.",1
79,8106,"
 There are lots of grammatical mistakes and incorrect sentences in the manuscript. The punctuation marks are not placed properly. The standard of English is not up to the mark.
 The abstract is not well written. Please concise the abstract by highlighting motivation, reasons, target, challenges and outcome of the works. 
 You did not follow IEEE format for preparing and referencing/numbering/specifying the figure, table, etc. in the paper. You mentioned 34 references, but did not cite all of them in the paper such as [7], [34], etc.
 You just provide a narrative description of several methods, practices and prototypes regarding IoT in the field of healthcare for women and children, nothing innovative.
",16.0,A Study on Internet of Things in Women and Children Healthcare,"Internet of Things, Healthcare, eHealth, mHealth","Individual entities are being connected every day with the advancement of Internet of Things (IoT). IoT contains various application domains and healthcare is one of them indeed. It is receiving a lot of attention recently because of its seamless integration with electronic health (eHealth) and telemedicine. This paper describes several methods, practices and prototypes regarding IoT in the field of healthcare for women and children.",0
80,8454,"
This paper donot have any technical merit. It should be submitted to any college magazine.
The author(s) donot know the page limit of the conference paper!!!
Last line of the Abstract is ""This paper describes several methods, practices and prototypes regarding IoT in the field of healthcare for women and children."" but we donot find anything about this claim.

 ",12.0,A Study on Internet of Things in Women and Children Healthcare,"Internet of Things, Healthcare, eHealth, mHealth","Individual entities are being connected every day with the advancement of Internet of Things (IoT). IoT contains various application domains and healthcare is one of them indeed. It is receiving a lot of attention recently because of its seamless integration with electronic health (eHealth) and telemedicine. This paper describes several methods, practices and prototypes regarding IoT in the field of healthcare for women and children.",0
82,8112,"



1. Please explain clearly the novelty of the proposed method.
2. The proposed method should be explained more clearly.
3.Experimental results should be discussed more details.
4. Please strictly follow the IEEE format.
5. English proofread is required.
6. Please include some numerical results in abstract section.",22.0,Spider Monkey Optimization to Solve Traveling Salesman Problem,"Traveling Salesman problem, Swap Sequence, Swap Operator, Spider Monkey Optimization","Traveling Salesman Problem (TSP) is the most well-known combinatorial optimization real-world problem. TSP is also very popular to check proficiency in any newly developed optimization method. In addition, the optimization methods, which are developed for other tasks (e. g., numerical optimization), also test their proficiency in TSP.  This study investigates a new technique to solve TSP based on a recently developed optimization technique stimulated through the foraging conduct of spider monkeys. Standard Spider Monkey Optimization (SMO) is established for numerical optimization which has six phases and each one has a different purpose. In this study, SMO is modified and updated to solve TSP; and Swap Operators (SOs), and Swap Sequence (SS) are considered to adapt SMO for TSP. In the proposed method, each spider monkey is considered as a TSP solution and SS is considered to update solution. An SS is a group of SOs and every one shows two positions in a visit which may be swapped. All SOs of a SS is applied on a specific tour maintaining order and thus ramifications of the SS change the TSP tour into another one. The SOs are generated using the experience of a specific spider monkey as well as the experience of other members (local leader, global leader, or randomly selected spider monkey) of the group. The proposed strategy has been examined on a huge number of benchmark TSPs and final consequences are compared to other prominent methods. Experimental consequences show that the proposed strategy is a decent technique to resolve TSP.",1
84,9282,0,23.0,Spider Monkey Optimization to Solve Traveling Salesman Problem,"Traveling Salesman problem, Swap Sequence, Swap Operator, Spider Monkey Optimization","Traveling Salesman Problem (TSP) is the most well-known combinatorial optimization real-world problem. TSP is also very popular to check proficiency in any newly developed optimization method. In addition, the optimization methods, which are developed for other tasks (e. g., numerical optimization), also test their proficiency in TSP.  This study investigates a new technique to solve TSP based on a recently developed optimization technique stimulated through the foraging conduct of spider monkeys. Standard Spider Monkey Optimization (SMO) is established for numerical optimization which has six phases and each one has a different purpose. In this study, SMO is modified and updated to solve TSP; and Swap Operators (SOs), and Swap Sequence (SS) are considered to adapt SMO for TSP. In the proposed method, each spider monkey is considered as a TSP solution and SS is considered to update solution. An SS is a group of SOs and every one shows two positions in a visit which may be swapped. All SOs of a SS is applied on a specific tour maintaining order and thus ramifications of the SS change the TSP tour into another one. The SOs are generated using the experience of a specific spider monkey as well as the experience of other members (local leader, global leader, or randomly selected spider monkey) of the group. The proposed strategy has been examined on a huge number of benchmark TSPs and final consequences are compared to other prominent methods. Experimental consequences show that the proposed strategy is a decent technique to resolve TSP.",1
85,9363,0,25.0,Spider Monkey Optimization to Solve Traveling Salesman Problem,"Traveling Salesman problem, Swap Sequence, Swap Operator, Spider Monkey Optimization","Traveling Salesman Problem (TSP) is the most well-known combinatorial optimization real-world problem. TSP is also very popular to check proficiency in any newly developed optimization method. In addition, the optimization methods, which are developed for other tasks (e. g., numerical optimization), also test their proficiency in TSP.  This study investigates a new technique to solve TSP based on a recently developed optimization technique stimulated through the foraging conduct of spider monkeys. Standard Spider Monkey Optimization (SMO) is established for numerical optimization which has six phases and each one has a different purpose. In this study, SMO is modified and updated to solve TSP; and Swap Operators (SOs), and Swap Sequence (SS) are considered to adapt SMO for TSP. In the proposed method, each spider monkey is considered as a TSP solution and SS is considered to update solution. An SS is a group of SOs and every one shows two positions in a visit which may be swapped. All SOs of a SS is applied on a specific tour maintaining order and thus ramifications of the SS change the TSP tour into another one. The SOs are generated using the experience of a specific spider monkey as well as the experience of other members (local leader, global leader, or randomly selected spider monkey) of the group. The proposed strategy has been examined on a huge number of benchmark TSPs and final consequences are compared to other prominent methods. Experimental consequences show that the proposed strategy is a decent technique to resolve TSP.",1
86,8521,"I would like to congratulate the authors for their hardworking effort.  
Literature is not enough to support authors' arguments.
There are many similar works. Only using a new Dataset cannot be a contribution.
No novelty in methodology.",15.0,A Sentiment Analysis Method for Aspect Level Multiclass Sentiment Classification,"human behaviors, e-commerce, product review, aspect detection","Nowadays, Shopping on online becomes an important part in peopleâs everyday life. Most of the people buy product from different e-commerce site and give review about the product. By analyzing their review data properly, it is possible to identify the behavioral patterns of the buyerâs about the product. However, the detection of âbadâ or âgoodâ behavior as a probable variation of normality still remains an open issue. 
Considering this situation, in this paper we are presenting a method to analyze buyerâs reviewed data to identify their behaviorâs about the product .We develop a framework for the collection and analysis of large data by collecting public data obtained from the buyerâs. The system can analyze data, reviewed by the buyerâs. Experimental results show that sentiment for different aspects of a product. Their opinions on specific aspect are naturally dependent on social effects such as user attraction on aspect, peer influence, user profile information.",0
87,9040,"The manuscript is well written, has important data analysis, and should be a intersting topics to the readers.However, the paper is going to give or add to the existing  knowledge about the topic. There is no significant scientific difference with previous works. ",26.0,A Sentiment Analysis Method for Aspect Level Multiclass Sentiment Classification,"human behaviors, e-commerce, product review, aspect detection","Nowadays, Shopping on online becomes an important part in peopleâs everyday life. Most of the people buy product from different e-commerce site and give review about the product. By analyzing their review data properly, it is possible to identify the behavioral patterns of the buyerâs about the product. However, the detection of âbadâ or âgoodâ behavior as a probable variation of normality still remains an open issue. 
Considering this situation, in this paper we are presenting a method to analyze buyerâs reviewed data to identify their behaviorâs about the product .We develop a framework for the collection and analysis of large data by collecting public data obtained from the buyerâs. The system can analyze data, reviewed by the buyerâs. Experimental results show that sentiment for different aspects of a product. Their opinions on specific aspect are naturally dependent on social effects such as user attraction on aspect, peer influence, user profile information.",0
88,8141,"
The paper is welly written, nobility of this paper is good.
Authors clearly describe the methodology and outcome of this paper is clear.
The arrangement of the manuscript should follow the IEEE format, there is some mismatching of format please correct it.

 ",15.0,IMPROVED LOAD FREQUENCY CONTROL OF TWO-AREA POWER SYSTEM,"ADRC, LFC, ESO and two-area power system",The power lines are connected in an interconnected power system through tie lines and Load Frequency Control (LFC) places the frequency and tie line power errors zero to keep the system in steady state condition. This paper represents an effective decentralized Load Frequency Control (LFC) by means of the concept of Active Disturbance Rejection Control (ADRC). The performance of ADRC based LFC is compared with PID based LFC in two area power system. Simulation is done by MATLAB Simulink and the results demonstrated the better robustness and dynamic performances with ADRC based LFC over PID based LFC.,0
93,9020,"1. This is a well-studied area. The authors referred to paper [6] and [7] to show the superiority of their proposed method. However, these references are not from any well-known journals or conferences. ADRC based methods are already available in the literature, e.g. in IEEE transactions and Elsevier publications. Therefore, the authors are requested to compare the performance of their method with a more recent and well-accepted method reported in the literature.2. Simulation scenarios are not clearly mentioned.3. The first line of the “Simulation Results”- ‘The effectiveness of ADRC is tested in this case by simulating the closed-loop control system in Fig.4.’ Fig. 4 is not any control system.4. There is no diagram of the two-area power system, and specifications and generation and load data are not provided.5. Overall the concept and presentation of the paper is very weak.",15.0,IMPROVED LOAD FREQUENCY CONTROL OF TWO-AREA POWER SYSTEM,"ADRC, LFC, ESO and two-area power system",The power lines are connected in an interconnected power system through tie lines and Load Frequency Control (LFC) places the frequency and tie line power errors zero to keep the system in steady state condition. This paper represents an effective decentralized Load Frequency Control (LFC) by means of the concept of Active Disturbance Rejection Control (ADRC). The performance of ADRC based LFC is compared with PID based LFC in two area power system. Simulation is done by MATLAB Simulink and the results demonstrated the better robustness and dynamic performances with ADRC based LFC over PID based LFC.,0
95,8141,"
The paper is welly written, nobility of this paper is good.
Authors clearly describe the methodology and outcome of this paper is clear.
The arrangement of the manuscript should follow the IEEE format, there is some mismatching of format please correct it.
",15.0,IMPROVED LOAD FREQUENCY CONTROL OF TWO-AREA POWER SYSTEM,"ADRC, LFC, ESO and two-area power system",The power lines are connected in an interconnected power system through tie lines and Load Frequency Control (LFC) places the frequency and tie line power errors zero to keep the system in steady state condition. This paper represents an effective decentralized Load Frequency Control (LFC) by means of the concept of Active Disturbance Rejection Control (ADRC). The performance of ADRC based LFC is compared with PID based LFC in two area power system. Simulation is done by MATLAB Simulink and the results demonstrated the better robustness and dynamic performances with ADRC based LFC over PID based LFC.,0
96,8178,"Please find the comments
1) The literature review is poorly focused. Add more recent reference. Consider adding a couple of journals article reference and clearly define your contribution.
2) The paper formatting is not appropriate. Check consistency of reference list. Use IEEE style for referencing.
3) Some language and grammar issue found. Check subject-verb agreement. Careful about the use of preposition. In several instances ""the"" article found missing or misuse. Use appropriate preposition.",16.0,IMPROVED LOAD FREQUENCY CONTROL OF TWO-AREA POWER SYSTEM,"ADRC, LFC, ESO and two-area power system",The power lines are connected in an interconnected power system through tie lines and Load Frequency Control (LFC) places the frequency and tie line power errors zero to keep the system in steady state condition. This paper represents an effective decentralized Load Frequency Control (LFC) by means of the concept of Active Disturbance Rejection Control (ADRC). The performance of ADRC based LFC is compared with PID based LFC in two area power system. Simulation is done by MATLAB Simulink and the results demonstrated the better robustness and dynamic performances with ADRC based LFC over PID based LFC.,0
97,8313,"This paper is similar with “Improved Load Frequency Control Using a Fast Acting Active Disturbance Rejection Controller”. Hence, there is no novelty of this paper. It’s a very bad practice to submit a paper which is similar with published one.
As a reviewer my recommendation for this paper is strongly rejected.",14.0,IMPROVED LOAD FREQUENCY CONTROL OF TWO-AREA POWER SYSTEM,"ADRC, LFC, ESO and two-area power system",The power lines are connected in an interconnected power system through tie lines and Load Frequency Control (LFC) places the frequency and tie line power errors zero to keep the system in steady state condition. This paper represents an effective decentralized Load Frequency Control (LFC) by means of the concept of Active Disturbance Rejection Control (ADRC). The performance of ADRC based LFC is compared with PID based LFC in two area power system. Simulation is done by MATLAB Simulink and the results demonstrated the better robustness and dynamic performances with ADRC based LFC over PID based LFC.,0
100,9268,Whats new in this paper? Not mature enough for a technical paper.,12.0,IMPROVED LOAD FREQUENCY CONTROL OF TWO-AREA POWER SYSTEM,"ADRC, LFC, ESO and two-area power system",The power lines are connected in an interconnected power system through tie lines and Load Frequency Control (LFC) places the frequency and tie line power errors zero to keep the system in steady state condition. This paper represents an effective decentralized Load Frequency Control (LFC) by means of the concept of Active Disturbance Rejection Control (ADRC). The performance of ADRC based LFC is compared with PID based LFC in two area power system. Simulation is done by MATLAB Simulink and the results demonstrated the better robustness and dynamic performances with ADRC based LFC over PID based LFC.,0
102,8313,"1.  The system modelling should be improved by including wind turbine modelling and induction generator modelling
2.  The wind power values should be defined in this paper
3. The pitch angle should be considered for system modelling 
4.  The results for real Power with capacitor bank and the real Power with STATCOM using PID Controller are the same.  It should be improved properly.
5.  The Controller parameter values should be defined in the paper.
6. The result section of this paper should be improved. The future recommendation should be introduced in conclusion section of the paper.
The recommendation for this paper is weakly accepted as a conference paper.",17.0,STATCOM and PID Controller Based Stability Enhancement of a Grid Connected Wind Farm,"STATCOM, PID Controller, Capacitor Bank",Stability of a grid-connected wind farm has been enhanced by mitigating voltage fluctuation and attaining reactive power compensation using Static Synchronous Compensator (STATCOM). Voltage control loop with PID controller has been used to control STATCOM. A Pulse Width Modulation (PWM) technique has also been adopted as the control strategy of STATCOM. Different comparative study regarding stabilization of a wind farm has been performed using different approach (i.e. wind farm using only capacitor bank and using STATCOM or using STATCOM along with Proportionalâintegralâderivative (PID) controller) during wind speed change. Comparison of result shows that STATCOM with PID controller offers better performance with enhanced stability.,0
103,9020,"1. This paper needs a proofread. There are a lot of grammatical mistakes all over the document.2. Why are you using IG based wind farm, which is type-1 machine and almost obsolete these days.3. The research question is very old and a significant works have already been done in this area.4. The organization of the paper needs further improvement. For instance, you have mentioned what is presented in various figures. No further/insightful observations are made from these plots.",12.0,STATCOM and PID Controller Based Stability Enhancement of a Grid Connected Wind Farm,"STATCOM, PID Controller, Capacitor Bank",Stability of a grid-connected wind farm has been enhanced by mitigating voltage fluctuation and attaining reactive power compensation using Static Synchronous Compensator (STATCOM). Voltage control loop with PID controller has been used to control STATCOM. A Pulse Width Modulation (PWM) technique has also been adopted as the control strategy of STATCOM. Different comparative study regarding stabilization of a wind farm has been performed using different approach (i.e. wind farm using only capacitor bank and using STATCOM or using STATCOM along with Proportionalâintegralâderivative (PID) controller) during wind speed change. Comparison of result shows that STATCOM with PID controller offers better performance with enhanced stability.,0
104,9268,Not mature enough for an international publication. More analysis with technical information are needed for a mature publication.,15.0,STATCOM and PID Controller Based Stability Enhancement of a Grid Connected Wind Farm,"STATCOM, PID Controller, Capacitor Bank",Stability of a grid-connected wind farm has been enhanced by mitigating voltage fluctuation and attaining reactive power compensation using Static Synchronous Compensator (STATCOM). Voltage control loop with PID controller has been used to control STATCOM. A Pulse Width Modulation (PWM) technique has also been adopted as the control strategy of STATCOM. Different comparative study regarding stabilization of a wind farm has been performed using different approach (i.e. wind farm using only capacitor bank and using STATCOM or using STATCOM along with Proportionalâintegralâderivative (PID) controller) during wind speed change. Comparison of result shows that STATCOM with PID controller offers better performance with enhanced stability.,0
105,9273,"The paper presents a study of the important use of 6-pulse STATCOM control scheme for grid-connected wind energy generation provides faster response time and has superior voltage support capability. The results confirm the conclusions. However, the authors should consider the following remarks:

The English language are poor and must be revised.
There are many mistakes in text editing (title, paragraph, figures a.s.o).
Reference [3] are missing in the text.
The authors must remove the aforementioned remarks.
",23.0,STATCOM and PID Controller Based Stability Enhancement of a Grid Connected Wind Farm,"STATCOM, PID Controller, Capacitor Bank",Stability of a grid-connected wind farm has been enhanced by mitigating voltage fluctuation and attaining reactive power compensation using Static Synchronous Compensator (STATCOM). Voltage control loop with PID controller has been used to control STATCOM. A Pulse Width Modulation (PWM) technique has also been adopted as the control strategy of STATCOM. Different comparative study regarding stabilization of a wind farm has been performed using different approach (i.e. wind farm using only capacitor bank and using STATCOM or using STATCOM along with Proportionalâintegralâderivative (PID) controller) during wind speed change. Comparison of result shows that STATCOM with PID controller offers better performance with enhanced stability.,0
106,8199,0,19.0,Comparative Study of Enhancing Stability of a Wind Farm connected to the Grid using PID Controller based STATCOM and Capacitor Bank,"STATCOM, PID Controller, Capacitor Bank","Comparative study of enhancing stability of a wind farm that is grid connected has been done by mitigating voltage fluctuation and attaining reactive power compensation using Static Synchronous Compensator (STATCOM). To control STATCOM a voltage control loop with a PID controller is used. To maintain the control system of STATCOM a PWM technique has been introduced. By using different approach, different comparative study regarding stabilization of a wind farm has been performed (i.e. by using capacitor bank only and using STATCOM or using STATCOM along with PID controller) during wind speed change. STATCOM with PID controller offers better performance with enhanced stability.",0
108,8337,Existing work. This does not contain any innovative work. Clarity level low. Any advancement has not been performed in this papaer.,12.0,Comparative Study of Enhancing Stability of a Wind Farm connected to the Grid using PID Controller based STATCOM and Capacitor Bank,"STATCOM, PID Controller, Capacitor Bank","Comparative study of enhancing stability of a wind farm that is grid connected has been done by mitigating voltage fluctuation and attaining reactive power compensation using Static Synchronous Compensator (STATCOM). To control STATCOM a voltage control loop with a PID controller is used. To maintain the control system of STATCOM a PWM technique has been introduced. By using different approach, different comparative study regarding stabilization of a wind farm has been performed (i.e. by using capacitor bank only and using STATCOM or using STATCOM along with PID controller) during wind speed change. STATCOM with PID controller offers better performance with enhanced stability.",0
114,8146,"Paper ID: 7128
This paper is well written and addresses specific objectives.  There are few plagiarism and therefore it could accepted after minor revision.
Therefore accept it",18.0,Classification on BDHS data analysis: Hybrid approach for predicting pregnancy termination,BDHS; Naive Bayes; Bayesian Network; Decision Stump; Prior Probability; Posterior Probability.,"Pregnancy termination is a trivial anomaly for third
world countries like Bangladesh. The greater aspiration of this
research is to downturn the rate of pregnancy termination. This
research finds out the attributes that contribute to pregnancy
termination and leads to propose a hybrid of supervised machine
learning approach for predicting âPregnancy Terminationâ in
Bangladesh. Bivariate and multivariate analyses were carried
out using the Bangladesh Demographic and Health Survey
(BDHS), 2014 data which is reduced by analyzing attributes that
exhibit information of interest to explore the current reasons
of pregnancy termination. After extracting out the features of
interest with the help of Weka provided feature ranking attribute
evaluator, hybridization of supervised machine learning classifiers
are done concerning the negatively biasedness of the dataset with
respect to pregnancy termination. On this investigation, weâve
developed a hybrid approach with 67.2% accuracy considering
the biasedness of the dataset which is relatively better than other
classifiers in terms of performance metrics.",1
115,9031,"This paper presents a comparative study of classification techniques on BDHS, 2014 dataset. The author claims that their proposed hybrid technique outperforms the existing system in terms of precision, TPR etc. But their result justifies that decision stump outperforms other classification techniques based on different metrcis, which is contradictory with their claims.While the experimental methodology used in the paper is somewhat justified but it is not rigorous. ",24.0,Classification on BDHS data analysis: Hybrid approach for predicting pregnancy termination,BDHS; Naive Bayes; Bayesian Network; Decision Stump; Prior Probability; Posterior Probability.,"Pregnancy termination is a trivial anomaly for third
world countries like Bangladesh. The greater aspiration of this
research is to downturn the rate of pregnancy termination. This
research finds out the attributes that contribute to pregnancy
termination and leads to propose a hybrid of supervised machine
learning approach for predicting âPregnancy Terminationâ in
Bangladesh. Bivariate and multivariate analyses were carried
out using the Bangladesh Demographic and Health Survey
(BDHS), 2014 data which is reduced by analyzing attributes that
exhibit information of interest to explore the current reasons
of pregnancy termination. After extracting out the features of
interest with the help of Weka provided feature ranking attribute
evaluator, hybridization of supervised machine learning classifiers
are done concerning the negatively biasedness of the dataset with
respect to pregnancy termination. On this investigation, weâve
developed a hybrid approach with 67.2% accuracy considering
the biasedness of the dataset which is relatively better than other
classifiers in terms of performance metrics.",1
116,8958,"Comments

A minor modification of a well-studied research area. Hence no novelty of the work.
There are a lot of papers aiming to improve the load balancing in LEACH protocol. Author fails to summarize them and compare this work with one of them.
This paper modified the CH-Leach protocol of [12] with the aim of improving the load balancing. But there are no results directly related to the load balancing. Also there is no explanation relating the load balancing and network lifetime. The results shown in this paper is not well explained to show the effectiveness of the proposal.
",15.0,A New Approach of Energy Efficient Load Balancing for Wireless Sensor Networks,Load balance; Communication distance; Network lifetime; Wireless sensor network,"Lots of real time applications of wireless sensor network requires maximization of network lifetime. Many clustering approach have been proposed but they suffer from uneven clusters which eventually make the network load unbalanced. In this work we have suggested two stage energy proficient balanced clustering method which will balance the network load. We considered the parameters residual energy, intra cluster cost, inter cluster cost, communication distance. We compared our proposed protocol with a recent clustering protocol CH-leach. Simulation results shows that proposed algorithm achieve better load balance, increase the network lifetime with energy balance clusters and lower node death rate.",0
117,9052,"Intersting research article.
But, how to confrim the simulation result?  For comparison, some sort of numerical results would be great.
The graphs at result section should be clear (e.g. the x and y axis titles are not clear)
Also, pls re-write to section III more clearly.",20.0,A New Approach of Energy Efficient Load Balancing for Wireless Sensor Networks,Load balance; Communication distance; Network lifetime; Wireless sensor network,"Lots of real time applications of wireless sensor network requires maximization of network lifetime. Many clustering approach have been proposed but they suffer from uneven clusters which eventually make the network load unbalanced. In this work we have suggested two stage energy proficient balanced clustering method which will balance the network load. We considered the parameters residual energy, intra cluster cost, inter cluster cost, communication distance. We compared our proposed protocol with a recent clustering protocol CH-leach. Simulation results shows that proposed algorithm achieve better load balance, increase the network lifetime with energy balance clusters and lower node death rate.",0
118,8262,too many references. workflow is not continuous.,17.0,Metal Gate Work Function Engineering: Sub-Nano Regime Double Gate MOSFETs,"GaN, DG-MOSFETs, metal gate-work function (MGWF), DIBL, short channel effects (SCEs)","The effect of metal gate (MG) work function (WF) on MOSFETs having double gate has been researched for the next generation logic applications. GaN-based Double-Gate MOSFETs, by tuning the value of work functions (WF) are investigated by simulation to establish the transport characteristics to mitigate SCEs (short channel effects). The metal gate (MG) work functions (WF) is varied between 3.5 eV and 4.8 eV and the device performance is evaluated. The reduction of SCEs is observed for multiple metal gate (MG) work functions (WF). The simulation results apprise that by tuning the work function of GaN-based double-gate MOSFETs, the threshold voltage tuning can be possible. The reduction of short channel effects (SCEs) can be possible by fixing the congenial value of threshold voltage (VT). The simulations have been performed for GaN-based DG-MOSFETs considering 9.7 nm (ITRS- Year: 2021) length of the gate (LG). The device turn on and turn off voltage (Gate-Source) is respectively, VGS =1 V and VGS = 0 V. The effective oxide thickness (EOT) is considered as 0.56 nm for a gate length of 9.7 nm. In the device simulation focus has been set on VTH, ION, IOFF, DIBL and SS, this metrics has been done for multiple metal gate work functions. The value of Drain induced barrier lowering (DIBL) and subthreshold leakage current is reduced and threshold voltage (VT) is increased with tuning the metal gate work functions. The proposed GaN-based DG-MOSFETs suggests that the reduction of short channel effects (SCEs) can be possible by tuning the MG-WF (metal gate-work function).",1
120,8769,"This paper is well written and well organized. 
For a conference paper, i think number of references here is too much. Try to reduce it.
In Fig. 6, try to use dottet line for one curve rathar than colour.",22.0,Metal Gate Work Function Engineering: Sub-Nano Regime Double Gate MOSFETs,"GaN, DG-MOSFETs, metal gate-work function (MGWF), DIBL, short channel effects (SCEs)","The effect of metal gate (MG) work function (WF) on MOSFETs having double gate has been researched for the next generation logic applications. GaN-based Double-Gate MOSFETs, by tuning the value of work functions (WF) are investigated by simulation to establish the transport characteristics to mitigate SCEs (short channel effects). The metal gate (MG) work functions (WF) is varied between 3.5 eV and 4.8 eV and the device performance is evaluated. The reduction of SCEs is observed for multiple metal gate (MG) work functions (WF). The simulation results apprise that by tuning the work function of GaN-based double-gate MOSFETs, the threshold voltage tuning can be possible. The reduction of short channel effects (SCEs) can be possible by fixing the congenial value of threshold voltage (VT). The simulations have been performed for GaN-based DG-MOSFETs considering 9.7 nm (ITRS- Year: 2021) length of the gate (LG). The device turn on and turn off voltage (Gate-Source) is respectively, VGS =1 V and VGS = 0 V. The effective oxide thickness (EOT) is considered as 0.56 nm for a gate length of 9.7 nm. In the device simulation focus has been set on VTH, ION, IOFF, DIBL and SS, this metrics has been done for multiple metal gate work functions. The value of Drain induced barrier lowering (DIBL) and subthreshold leakage current is reduced and threshold voltage (VT) is increased with tuning the metal gate work functions. The proposed GaN-based DG-MOSFETs suggests that the reduction of short channel effects (SCEs) can be possible by tuning the MG-WF (metal gate-work function).",1
122,8106,"Comments: 

First of all, author(s) should have followed the submission guideline strictly. According to the submission procedure in conference website- “Initial submission should not include author's name and affiliation information”. But author(s) names and affiliations) were not removed from the manuscript. So the manuscript has been rejected based on this criteria.
Moreover, the manuscript is not well organized and poorly written and formatted.
Also, no recent work was cited in the reference section which arises question to the novelty of this work.
",9.0,A System for Music free Singing Voice Signal Recommendation,"Song recommender system, Dynamic Time warping","With widespread access to internet and huge availability of music players like iPhone, Smart phone songs are now available anytime and anywhere to any people. The problem now is not the availability of songs, but to find right songs for user. Song recommendations are grouped by different aspects like melody, rhythm etc. This paper propose a recommender system by melodic similarity of songs. Fundamental frequency of song has been extracted and a dynamic programming approach named dynamic time warping has been used to find total fundamental frequency deviation of two songs and this process is continued for all tracks in a playlist and finally recommendations are given as ascending order of overall fundamental frequency deviation percentage. This system also can give a rhythmic rating based on how a target song deviates with respect to a reference song",0
123,8972,"
The system required blind submission. No author name should be provided.
The title is irrelevant to the work done. In abstract, author claims that the system gives a rhythmic rating of a song with respect to a reference song based on music signal analysis. However, the title indicates that the author try to recognize music free voice signal!
Paper format should follow the conference template.
No specific contribution is found of the manuscript.
",11.0,A System for Music free Singing Voice Signal Recommendation,"Song recommender system, Dynamic Time warping","With widespread access to internet and huge availability of music players like iPhone, Smart phone songs are now available anytime and anywhere to any people. The problem now is not the availability of songs, but to find right songs for user. Song recommendations are grouped by different aspects like melody, rhythm etc. This paper propose a recommender system by melodic similarity of songs. Fundamental frequency of song has been extracted and a dynamic programming approach named dynamic time warping has been used to find total fundamental frequency deviation of two songs and this process is continued for all tracks in a playlist and finally recommendations are given as ascending order of overall fundamental frequency deviation percentage. This system also can give a rhythmic rating based on how a target song deviates with respect to a reference song",0
126,8141,"
Technical content and nobility of this paper is very poor.
The methodology is not significant.
The literature review is not sufficient because it does not mention even if there are a good number of papers on the field.
Representation of this paper is very poor.
",12.0,"Waste Management system and the prospect of Electricity Generation from Municipal Waste in Chittagong city, Bangladesh","Chittagong, Waste to Energy Conversion, Municipal Solid Waste (MSW), Renewable Energy.","Energy crisis is a common phenomenon in developing country. Bangladesh is also one of them. It faces the energy crisis problem, high-cost power supply problem and scarce of conventional energy source. Bangladesh is the 8th populated country in the world. The energy demand is so high here. It faces the difficulty to fulfill the demand with conventional energy sources. Therefore, it is necessary to find another way to meet the energy demand which will be low in cost, available and eco-friendly. The high population of Bangladesh generates enormous wastes daily. Moreover, Waste management system is not so adequate here. Hence, wastes can be an emerging option to produce energy. This paper shows the management of municipal wastes and estimates the electricity generation from municipal wastes of Chittagong City, Bangladesh.",0
128,9227,"The research topic, as well as paper title,  is quite good but the abstract does not reflect any research output. The author(s) should include some important findings for suitable readership.",18.0,"Waste Management system and the prospect of Electricity Generation from Municipal Waste in Chittagong city, Bangladesh","Chittagong, Waste to Energy Conversion, Municipal Solid Waste (MSW), Renewable Energy.","Energy crisis is a common phenomenon in developing country. Bangladesh is also one of them. It faces the energy crisis problem, high-cost power supply problem and scarce of conventional energy source. Bangladesh is the 8th populated country in the world. The energy demand is so high here. It faces the difficulty to fulfill the demand with conventional energy sources. Therefore, it is necessary to find another way to meet the energy demand which will be low in cost, available and eco-friendly. The high population of Bangladesh generates enormous wastes daily. Moreover, Waste management system is not so adequate here. Hence, wastes can be an emerging option to produce energy. This paper shows the management of municipal wastes and estimates the electricity generation from municipal wastes of Chittagong City, Bangladesh.",0
